brand_id;item_purchased;category;clothing_size;color;season;customer_id;purchased_id
100;Blouse;Clothing;Large;Gray;Winter;1;1101
101;Sweater;Clothing;Large;Maroon;Winter;2;1102
102;Jeans;Clothing;Small;Maroon;Spring;3;1103
103;Sandals;Footwear;Medium;Maroon;Spring;4;1104
104;Blouse;Clothing;Medium;Turquoise;Spring;5;1105
105;Sneakers;Footwear;Medium;White;Summer;6;1106
106;Shirt;Clothing;Medium;Gray;Fall;7;1107
107;Shorts;Clothing;Large;Charcoal;Winter;8;1108
108;Coat;Outerwear;Large;Silver;Summer;9;1109
109;Handbag;Accessories;Medium;Pink;Spring;10;1110
110;Shoes;Footwear;Large;Purple;Fall;11;1111
111;Shorts;Clothing;Small;Olive;Winter;12;1112
112;Coat;Outerwear;Medium;Gold;Winter;13;1113
113;Dress;Clothing;Medium;Violet;Spring;14;1114
114;Coat;Outerwear;Large;Teal;Winter;15;1115
115;Skirt;Clothing;Medium;Teal;Winter;16;1116
116;Sunglasses;Accessories;Small;Gray;Spring;17;1117
117;Dress;Clothing;ExtraLargearge;Lavender;Winter;18;1118
118;Sweater;Clothing;Small;Black;Summer;19;1119
119;Pants;Clothing;Medium;Green;Summer;20;1120
120;Pants;Clothing;Medium;Black;Winter;21;1121
121;Pants;Clothing;Medium;Charcoal;Winter;22;1122
122;Pants;Clothing;Medium;Peach;Summer;23;1123
123;Pants;Clothing;ExtraLargearge;White;Winter;24;1124
124;Jacket;Outerwear;Medium;Green;Fall;25;1125
125;Hoodie;Clothing;Medium;Silver;Summer;26;1126
126;Jewelry;Accessories;Medium;Red;Spring;27;1127
127;Shorts;Clothing;Large;Cyan;Summer;28;1128
128;Handbag;Accessories;Medium;Gray;Fall;29;1129
129;Dress;Clothing;Small;Black;Fall;30;1130
130;Jewelry;Accessories;Large;Black;Winter;31;1131
131;Dress;Clothing;Large;Brown;Winter;32;1132
132;Jacket;Outerwear;Medium;Silver;Summer;33;1133
133;Pants;Clothing;Large;Green;Summer;34;1134
134;T Shirt;Clothing;Large;Violet;Spring;35;1135
135;Blouse;Clothing;Medium;Cyan;Summer;36;1136
136;T Shirt;Clothing;Medium;Maroon;Winter;37;1137
137;Jeans;Clothing;Small;Cyan;Summer;38;1138
138;Dress;Clothing;Medium;Red;Winter;39;1139
139;Pants;Clothing;Small;Turquoise;Summer;40;1140
140;Handbag;Accessories;Large;Beige;Winter;41;1141
141;Scarf;Accessories;Medium;Orange;Spring;42;1142
142;Coat;Outerwear;Medium;Beige;Spring;43;1143
143;Scarf;Accessories;Large;Lavender;Fall;44;1144
144;Hat;Accessories;Small;Silver;Summer;45;1145
145;Socks;Clothing;ExtraLargearge;Indigo;Fall;46;1146
146;Shirt;Clothing;Large;White;Summer;47;1147
147;Jewelry;Accessories;Medium;Charcoal;Winter;48;1148
148;Shirt;Clothing;Medium;Orange;Summer;49;1149
149;Hoodie;Clothing;Small;Indigo;Spring;50;1150
150;Blouse;Clothing;Medium;Red;Spring;51;1151
151;Skirt;Clothing;ExtraLargearge;Gray;Winter;52;1152
152;T Shirt;Clothing;Medium;Green;Summer;53;1153
153;Skirt;Clothing;Small;Peach;Winter;54;1154
154;Coat;Outerwear;Medium;Brown;Summer;55;1155
155;Jacket;Outerwear;Medium;Lavender;Winter;56;1156
156;Backpack;Accessories;ExtraLargearge;Brown;Summer;57;1157
157;Coat;Outerwear;Medium;White;Summer;58;1158
158;Hoodie;Clothing;Medium;Charcoal;Summer;59;1159
159;Belt;Accessories;Large;Yellow;Spring;60;1160
160;Sweater;Clothing;Large;Brown;Summer;61;1161
161;Scarf;Accessories;Medium;Orange;Winter;62;1162
162;Sneakers;Footwear;Small;Magenta;Spring;63;1163
163;Sunglasses;Accessories;Large;Lavender;Winter;64;1164
164;Boots;Footwear;Small;Green;Fall;65;1165
165;Backpack;Accessories;Medium;Purple;Spring;66;1166
166;Blouse;Clothing;Small;Magenta;Winter;67;1167
167;Coat;Outerwear;Large;Gray;Winter;68;1168
168;Handbag;Accessories;Large;Silver;Summer;69;1169
169;Belt;Accessories;Small;Cyan;Summer;70;1170
170;Belt;Accessories;Medium;Magenta;Fall;71;1171
171;Dress;Clothing;Large;Gold;Summer;72;1172
172;Dress;Clothing;Medium;Olive;Winter;73;1173
173;Pants;Clothing;Medium;Teal;Spring;74;1174
174;Gloves;Accessories;Large;Violet;Spring;75;1175
175;Scarf;Accessories;Medium;Blue;Summer;76;1176
176;Hat;Accessories;Small;Teal;Summer;77;1177
177;Dress;Clothing;Large;Gold;Summer;78;1178
178;Skirt;Clothing;Medium;Maroon;Spring;79;1179
179;Jacket;Outerwear;Medium;Olive;Winter;80;1180
180;Sandals;Footwear;ExtraLargearge;Blue;Summer;81;1181
181;Shoes;Footwear;Large;Maroon;Summer;82;1182
182;Pants;Clothing;Small;Olive;Spring;83;1183
183;Dress;Clothing;Medium;Turquoise;Summer;84;1184
184;Coat;Outerwear;Small;Peach;Spring;85;1185
185;Sunglasses;Accessories;Medium;Charcoal;Winter;86;1186
186;Hoodie;Clothing;Large;Pink;Spring;87;1187
187;Shoes;Footwear;Medium;Green;Fall;88;1188
188;T Shirt;Clothing;Medium;Orange;Fall;89;1189
189;Jacket;Outerwear;ExtraLargearge;Pink;Fall;90;1190
190;Hat;Accessories;Large;Violet;Summer;91;1191
191;Scarf;Accessories;Small;Green;Winter;92;1192
192;Jacket;Outerwear;Medium;Olive;Winter;93;1193
193;Sweater;Clothing;Medium;Purple;Fall;94;1194
194;Skirt;Clothing;Small;Silver;Spring;95;1195
195;Sneakers;Footwear;Large;Pink;Fall;96;1196
196;Gloves;Accessories;Small;Gold;Spring;97;1197
197;Shoes;Footwear;Medium;Teal;Winter;98;1198
198;Jeans;Clothing;ExtraLargearge;Teal;Spring;99;1199
199;Hoodie;Clothing;ExtraLargearge;Indigo;Summer;100;1200
200;Sunglasses;Accessories;Medium;Maroon;Fall;101;1201
201;Coat;Outerwear;ExtraLargearge;White;Spring;102;1202
202;Socks;Clothing;Large;Violet;Winter;103;1203
203;Boots;Footwear;Large;Red;Winter;104;1204
204;Sunglasses;Accessories;Large;Pink;Spring;105;1205
205;Backpack;Accessories;Medium;Charcoal;Fall;106;1206
206;Jacket;Outerwear;Large;White;Summer;107;1207
207;Sneakers;Footwear;Large;Olive;Winter;108;1208
208;Socks;Clothing;Large;Purple;Spring;109;1209
209;T Shirt;Clothing;Medium;Violet;Spring;110;1210
210;Backpack;Accessories;Medium;Black;Summer;111;1211
211;Belt;Accessories;Large;Purple;Summer;112;1212
212;Gloves;Accessories;Medium;Red;Spring;113;1213
213;Hat;Accessories;Large;Maroon;Winter;114;1214
214;Coat;Outerwear;Small;Blue;Summer;115;1215
215;Skirt;Clothing;Medium;Gray;Spring;116;1216
216;Shoes;Footwear;Small;Blue;Spring;117;1217
217;Sandals;Footwear;Large;Yellow;Summer;118;1218
218;Sweater;Clothing;Large;Orange;Fall;119;1219
219;Coat;Outerwear;Medium;Orange;Fall;120;1220
220;Hat;Accessories;Large;Red;Summer;121;1221
221;Shorts;Clothing;Medium;Olive;Winter;122;1222
222;Backpack;Accessories;Large;Brown;Spring;123;1223
223;Sweater;Clothing;Large;Brown;Fall;124;1224
224;Sweater;Clothing;Medium;Gray;Spring;125;1225
225;Shorts;Clothing;Medium;Indigo;Winter;126;1226
226;Shorts;Clothing;Large;Pink;Spring;127;1227
227;Sweater;Clothing;Medium;Gray;Winter;128;1228
228;Scarf;Accessories;Medium;Gold;Spring;129;1229
229;Dress;Clothing;ExtraLargearge;Olive;Summer;130;1230
230;Scarf;Accessories;Large;Violet;Fall;131;1231
231;Skirt;Clothing;Large;Indigo;Summer;132;1232
