customer_id;age_cust;gender;location;subscription_status;brand_id;purchased_id
1;55;Male;Kentucky;Yes;100;1101
2;19;Male;Maine;Yes;101;1102
3;50;Male;Massachusetts;Yes;102;1103
4;21;Male;Rhode Island;Yes;103;1104
5;45;Male;Oregon;Yes;104;1105
6;46;Male;Wyoming;Yes;105;1106
7;63;Male;Montana;Yes;106;1107
8;27;Male;Louisiana;Yes;107;1108
9;26;Male;West Virginia;Yes;108;1109
10;57;Male;Missouri;Yes;109;1110
11;53;Male;Arkansas;Yes;110;1111
12;30;Male;Hawaii;Yes;111;1112
13;61;Male;Delaware;Yes;112;1113
14;65;Male;New Hampshire;Yes;113;1114
15;64;Male;New York;Yes;114;1115
16;64;Male;Rhode Island;Yes;115;1116
17;25;Male;Alabama;Yes;116;1117
18;53;Male;Mississippi;Yes;117;1118
19;52;Male;Montana;Yes;118;1119
20;66;Male;Rhode Island;Yes;119;1120
21;21;Male;Louisiana;Yes;120;1121
22;31;Male;North Carolina;Yes;121;1122
23;56;Male;California;Yes;122;1123
24;31;Male;Oklahoma;Yes;123;1124
25;18;Male;Florida;Yes;124;1125
26;18;Male;Texas;Yes;125;1126
27;38;Male;Nevada;Yes;126;1127
28;56;Male;Kentucky;Yes;127;1128
29;54;Male;North Carolina;Yes;128;1129
30;31;Male;Wyoming;Yes;129;1130
31;57;Male;North Carolina;Yes;130;1131
32;33;Male;West Virginia;Yes;131;1132
33;36;Male;Kansas;Yes;132;1133
34;54;Male;Colorado;Yes;133;1134
35;36;Male;North Dakota;Yes;134;1135
36;54;Male;Massachusetts;Yes;135;1136
37;35;Male;Illinois;Yes;136;1137
38;35;Male;Indiana;Yes;137;1138
39;29;Male;Florida;Yes;138;1139
40;70;Male;Arizona;Yes;139;1140
41;69;Male;Louisiana;Yes;140;1141
42;67;Male;Alaska;Yes;141;1142
43;20;Male;Tennessee;Yes;142;1143
44;25;Male;Ohio;Yes;143;1144
45;39;Male;Kentucky;Yes;144;1145
46;50;Male;Tennessee;Yes;145;1146
47;57;Male;California;Yes;146;1147
48;55;Male;Montana;Yes;147;1148
49;42;Male;Nevada;Yes;148;1149
50;68;Male;New Jersey;Yes;149;1150
51;49;Male;Maryland;Yes;150;1151
52;59;Male;Vermont;Yes;151;1152
53;42;Male;Alaska;Yes;152;1153
54;29;Male;Mississippi;Yes;153;1154
55;47;Male;New Mexico;Yes;154;1155
56;40;Male;South Carolina;Yes;155;1156
57;41;Male;Mississippi;Yes;156;1157
58;21;Male;West Virginia;Yes;157;1158
59;69;Male;Missouri;Yes;158;1159
60;63;Male;Louisiana;Yes;159;1160
61;50;Male;Idaho;Yes;160;1161
62;55;Male;Texas;Yes;161;1162
63;30;Male;Mississippi;Yes;162;1163
64;33;Male;Arizona;Yes;163;1164
65;65;Male;Alabama;Yes;164;1165
66;65;Male;New Jersey;Yes;165;1166
67;31;Male;Pennsylvania;Yes;166;1167
68;45;Male;Connecticut;Yes;167;1168
69;57;Male;Utah;Yes;168;1169
70;48;Male;Tennessee;Yes;169;1170
71;22;Male;Alabama;Yes;170;1171
72;36;Male;Virginia;Yes;171;1172
73;18;Male;Georgia;Yes;172;1173
74;48;Male;Hawaii;Yes;173;1174
75;49;Male;Indiana;Yes;174;1175
76;64;Male;Utah;Yes;175;1176
77;50;Male;Delaware;Yes;176;1177
78;22;Male;Delaware;Yes;177;1178
79;50;Male;Nebraska;Yes;178;1179
80;38;Male;Iowa;Yes;179;1180
81;19;Male;New York;Yes;180;1181
82;67;Male;Virginia;Yes;181;1182
83;19;Male;Georgia;Yes;182;1183
84;36;Male;Texas;Yes;183;1184
85;52;Male;Arizona;Yes;184;1185
86;53;Male;New Mexico;Yes;185;1186
87;24;Male;Nevada;Yes;186;1187
88;52;Male;Ohio;Yes;187;1188
89;33;Male;Wyoming;Yes;188;1189
90;47;Male;California;Yes;189;1190
91;25;Male;South Carolina;Yes;190;1191
92;44;Male;South Carolina;Yes;191;1192
93;61;Male;Texas;Yes;192;1193
94;37;Male;Florida;Yes;193;1194
95;58;Male;Nevada;Yes;194;1195
96;37;Male;Missouri;Yes;195;1196
97;32;Male;Delaware;Yes;196;1197
98;21;Male;Virginia;Yes;197;1198
99;20;Male;New York;Yes;198;1199
100;26;Male;Missouri;Yes;199;1200
101;62;Male;South Dakota;Yes;200;1201
102;27;Male;North Dakota;Yes;201;1202
103;51;Male;Oklahoma;Yes;202;1203
104;54;Male;West Virginia;Yes;203;1204
105;55;Male;New Hampshire;Yes;204;1205
106;69;Male;New York;Yes;205;1206
107;64;Male;Minnesota;Yes;206;1207
108;28;Male;Maryland;Yes;207;1208
109;70;Male;Montana;Yes;208;1209
110;58;Male;Alabama;Yes;209;1210
111;56;Male;New York;Yes;210;1211
112;26;Male;Massachusetts;Yes;211;1212
113;37;Male;Florida;Yes;212;1213
114;44;Male;New Jersey;Yes;213;1214
115;70;Male;Massachusetts;Yes;214;1215
116;53;Male;Wyoming;Yes;215;1216
117;55;Male;Virginia;Yes;216;1217
118;50;Male;South Dakota;Yes;217;1218
119;50;Male;Kentucky;Yes;218;1219
120;38;Male;Wyoming;Yes;219;1220
121;64;Male;West Virginia;Yes;220;1221
122;19;Male;Virginia;Yes;221;1222
123;40;Male;Washington;Yes;222;1223
124;57;Male;Louisiana;Yes;223;1224
125;44;Male;Nevada;Yes;224;1225
126;49;Male;California;Yes;225;1226
127;43;Male;Mississippi;Yes;226;1227
128;24;Male;Mississippi;Yes;227;1228
129;20;Male;California;Yes;228;1229
130;24;Male;Pennsylvania;Yes;229;1230
131;44;Male;Kentucky;Yes;230;1231
132;28;Male;Maine;Yes;231;1232
133;30;Male;New Mexico;Yes;232;1233
134;52;Male;Montana;Yes;233;1234
135;43;Male;Texas;Yes;234;1235
136;43;Male;Kansas;Yes;235;1236
137;39;Male;South Carolina;Yes;236;1237
138;68;Male;Colorado;Yes;237;1238
139;68;Male;Georgia;Yes;238;1239
140;49;Male;Florida;Yes;239;1240
141;63;Male;North Carolina;Yes;240;1241
142;56;Male;Virginia;Yes;241;1242
143;37;Male;Nebraska;Yes;242;1243
144;30;Male;Missouri;Yes;243;1244
145;19;Male;New Jersey;Yes;244;1245
146;24;Male;Missouri;Yes;245;1246
147;52;Male;Colorado;Yes;246;1247
148;63;Male;Idaho;Yes;247;1248
149;37;Male;Wyoming;Yes;248;1249
150;38;Male;Delaware;Yes;249;1250
151;35;Male;California;Yes;250;1251
152;28;Male;North Dakota;Yes;251;1252
153;30;Male;South Carolina;Yes;252;1253
154;69;Male;North Carolina;Yes;253;1254
155;41;Male;Oklahoma;Yes;254;1255
156;63;Male;Maine;Yes;255;1256
157;35;Male;Missouri;Yes;256;1257
158;36;Male;Vermont;Yes;257;1258
159;25;Male;Connecticut;Yes;258;1259
160;58;Male;New Hampshire;Yes;259;1260
161;27;Male;Texas;Yes;260;1261
162;65;Male;North Dakota;Yes;261;1262
163;54;Male;California;Yes;262;1263
164;54;Male;Virginia;Yes;263;1264
165;59;Male;Delaware;Yes;264;1265
