purchased_id;payment_method;shipping_type;promo_code ;Frequency of Purchases;purchase_amount;customer_id;brand_id
1101;Credit Card;Express;Yes;Fortnightly;53;1;100
1102;Bank Transfer;Express;Yes;Fortnightly;64;2;101
1103;Cash;Free Shipping;Yes;Weekly;73;3;102
1104;PayPal;Next Day;Yes;Weekly;90;4;103
1105;Cash;Free Shipping;Yes;Annually;49;5;104
1106;Venmo;Standard;Yes;Weekly;20;6;105
1107;Debit Card;Free Shipping;Yes;Quarterly;85;7;106
1108;Debit Card;Free Shipping;Yes;Weekly;34;8;107
1109;Venmo;Express;Yes;Annually;97;9;108
1110;PayPal;Two Day;Yes;Quarterly;31;10;109
1111;Credit Card;Store Pickup;Yes;Bi Weekly;34;11;110
1112;PayPal;Store Pickup;Yes;Fortnightly;68;12;111
1113;PayPal;Express;Yes;Fortnightly;72;13;112
1114;Debit Card;Express;Yes;Weekly;51;14;113
1115;PayPal;Free Shipping;Yes;Weekly;53;15;114
1116;Credit Card;Store Pickup;Yes;Monthly;81;16;115
1117;Venmo;Next Day;Yes;Bi Weekly;36;17;116
1118;Debit Card;Two Day;Yes;Quarterly;38;18;117
1119;Bank Transfer;Free Shipping;Yes;Weekly;48;19;118
1120;Venmo;Standard;Yes;Bi Weekly;90;20;119
1121;Credit Card;Express;Yes;Every Three Months;51;21;120
1122;Credit Card;Store Pickup;Yes;Quarterly;62;22;121
1123;Cash;Store Pickup;Yes;Annually;37;23;122
1124;Credit Card;Express;Yes;Weekly;88;24;123
1125;Cash;Store Pickup;Yes;Weekly;22;25;124
1126;Bank Transfer;Express;Yes;Annually;25;26;125
1127;Cash;Next Day;Yes;Annually;20;27;126
1128;Debit Card;Next Day;Yes;Every Three Months;56;28;127
1129;Debit Card;Free Shipping;Yes;Every Three Months;94;29;128
1130;Venmo;Store Pickup;Yes;Weekly;48;30;129
1131;Bank Transfer;Standard;Yes;Monthly;31;31;130
1132;Venmo;Store Pickup;Yes;Monthly;79;32;131
1133;Bank Transfer;Free Shipping;Yes;Annually;67;33;132
1134;Venmo;Store Pickup;Yes;Quarterly;38;34;133
1135;Debit Card;Two Day;Yes;Quarterly;91;35;134
1136;Bank Transfer;Two Day;Yes;Bi Weekly;33;36;135
1137;Cash;Free Shipping;Yes;Fortnightly;69;37;136
1138;Debit Card;Store Pickup;Yes;Weekly;45;38;137
1139;Debit Card;Two Day;Yes;Every Three Months;37;39;138
1140;Bank Transfer;Express;Yes;Monthly;60;40;139
1141;PayPal;Next Day;Yes;Quarterly;76;41;140
1142;Cash;Standard;Yes;Annually;39;42;141
1143;Bank Transfer;Free Shipping;Yes;Annually;100;43;142
1144;PayPal;Store Pickup;Yes;Fortnightly;69;44;143
1145;Bank Transfer;Free Shipping;Yes;Weekly;53;45;144
1146;Venmo;Two Day;Yes;Annually;21;46;145
1147;Venmo;Store Pickup;Yes;Quarterly;43;47;146
1148;Debit Card;Free Shipping;Yes;Weekly;54;48;147
1149;Debit Card;Store Pickup;Yes;Monthly;55;49;148
1150;Bank Transfer;Next Day;Yes;Bi Weekly;30;50;149
1151;Cash;Store Pickup;Yes;Bi Weekly;28;51;150
1152;PayPal;Two Day;Yes;Quarterly;59;52;151
1153;Credit Card;Free Shipping;Yes;Weekly;20;53;152
1154;Debit Card;Next Day;Yes;Weekly;24;54;153
1155;Bank Transfer;Next Day;Yes;Bi Weekly;94;55;154
1156;Venmo;Two Day;Yes;Annually;28;56;155
1157;PayPal;Store Pickup;Yes;Weekly;73;57;156
1158;PayPal;Store Pickup;Yes;Fortnightly;64;58;157
1159;Credit Card;Free Shipping;Yes;Monthly;54;59;158
