customer_id;invoice_date;age;gender;item Purchased;category;season;size;color
1;01/01/2018;55;Male;Blouse;Clothing;Winter;L;Gray
2;02/01/2018;19;Male;Sweater;Clothing;Winter;L;Maroon
3;03/01/2018;50;Female;Jeans;Clothing;Spring;S;Maroon
4;04/01/2018;21;Female;Sandals;Footwear;Spring;M;Maroon
5;05/01/2018;10;Female;Blouse;Clothing;Spring;M;Turquoise
6;06/01/2018;46;Female;Sneakers;Footwear;Summer;M;White
7;07/01/2018;63;Female;Shirt;Clothing;Fall;M;Gray
8;08/01/2018;27;Female;Shorts;Clothing;Winter;L;Charcoal
9;09/01/2018;26;Female;Coat;Outerwear;Summer;L;Silver
10;10/01/2018;57;Male;Handbag;Accessories;Spring;M;Pink
11;11/01/2018;53;Male;Shoes;Footwear;Fall;L;Purple
12;12/01/2018;30;Male;Shorts;Clothing;Winter;S;Olive
13;13/01/2018;61;Male;Coat;Outerwear;Winter;M;Gold
14;14/01/2018;65;Male;Dress;Clothing;Spring;M;Violet
15;15/01/2018;64;Male;Coat;Outerwear;Winter;L;Teal
16;16/01/2018;64;Male;Skirt;Clothing;Winter;M;Teal
17;17/01/2018;25;Male;Sunglasses;Accessories;Spring;S;Gray
18;18/01/2018;53;Male;Dress;Clothing;Winter;XL;Lavender
19;19/01/2018;52;Male;Sweater;Clothing;Summer;S;Black
20;20/01/2018;66;Male;Pants;Clothing;Summer;M;Green
21;21/01/2018;21;Male;Pants;Clothing;Winter;M;Black
22;22/01/2018;31;Male;Pants;Clothing;Winter;M;Charcoal
23;23/01/2018;56;Male;Pants;Clothing;Summer;M;Peach
24;24/01/2018;31;Male;Pants;Clothing;Winter;XL;White
25;25/01/2018;18;Male;Jacket;Outerwear;Fall;M;Green
26;26/01/2018;18;Male;Hoodie;Clothing;Summer;M;Silver
27;27/01/2018;38;Male;Jewelry;Accessories;Spring;M;Red
28;28/01/2018;56;Male;Shorts;Clothing;Summer;L;Cyan
29;29/01/2018;54;Male;Handbag;Accessories;Fall;M;Gray
30;30/01/2018;31;Male;Dress;Clothing;Fall;S;Black
31;31/01/2018;57;Male;Jewelry;Accessories;Winter;L;Black
32;01/02/2018;33;Female;Dress;Clothing;Winter;L;Brown
33;02/02/2018;36;Female;Jacket;Outerwear;Summer;M;Silver
34;03/02/2018;54;Female;Pants;Clothing;Summer;L;Green
35;04/02/2018;36;Male;T shirt;Clothing;Spring;L;Violet
36;05/02/2018;54;Male;Blouse;Clothing;Summer;M;Cyan
37;06/02/2018;35;Male;T shirt;Clothing;Winter;M;Maroon
38;07/02/2018;35;Male;Jeans;Clothing;Summer;S;Cyan
39;08/02/2018;29;Male;Dress;Clothing;Winter;M;Red
14;09/02/2018;70;Male;Pants;Clothing;Summer;S;Turquoise
15;10/02/2018;69;Male;Handbag;Accessories;Winter;L;Beige
