item_id;order_status;order_date;order_quantity
1;Finished;13/10/2010;6
2;Finished;01/10/2012;49
3;Finished;10/07/2011;30
4;Finished;28/08/2010;19
5;Finished;17/06/2011;12
6;Cancelled;24/03/2011;21
7;Returned;26/02/2010;44
8;Finished;23/11/2010;45
9;Finished;08/06/2012;32
10;Finished;04/08/2012;15
11;Cancelled;30/05/2011;46
12;Finished;25/11/2009;16
13;Finished;14/02/2012;44
14;Cancelled;15/04/2012;15
15;Finished;12/03/2010;13
16;Finished;09/03/2011;33
17;Finished;04/08/2012;30
18;Returned;06/05/2011;23
19;Cancelled;23/12/2010;25
20;Finished;08/11/2010;28
21;Returned;21/10/2012;49
22;Cancelled;01/01/2011;10
23;Finished;10/10/2011;39
24;Cancelled;23/09/2010;27
25;Finished;19/07/2011;39
26;Finished;09/10/2009;47
27;Finished;09/12/2010;30
28;Finished;08/10/2012;5
29;Finished;02/05/2012;21
30;Finished;08/03/2010;8
31;Finished;28/05/2011;5
32;Cancelled;19/09/2010;9
33;Finished;31/08/2011;11
34;Finished;08/07/2011;7
35;Finished;30/01/2009;42
36;Finished;08/01/2012;11
37;Finished;07/11/2010;22
38;Cancelled;29/04/2010;12
39;Finished;31/12/2011;8
40;Finished;12/08/2009;7
41;Finished;12/11/2011;44
42;Finished;20/01/2012;19
43;Finished;20/03/2009;6
44;Finished;21/07/2012;40
45;Finished;12/06/2012;11
46;Finished;15/01/2009;41
47;Finished;04/06/2010;40
48;Finished;18/02/2010;18
49;Finished;16/11/2011;32
50;Finished;07/08/2011;22
51;Finished;08/06/2010;50
52;Finished;17/10/2009;37
53;Finished;28/08/2011;4
54;Finished;29/09/2011;19
55;Finished;04/05/2012;40
56;Finished;17/05/2011;5
57;Returned;17/11/2009;47
58;Finished;10/10/2011;7
59;Finished;07/10/2012;36
60;Finished;13/08/2011;44
61;Returned;16/08/2011;32
62;Finished;04/03/2009;1
63;Finished;18/08/2009;50
64;Finished;16/11/2010;29
65;Finished;27/05/2011;25
66;Finished;23/08/2010;15
67;Returned;19/08/2011;20
68;Finished;03/01/2012;14
69;Finished;29/11/2012;48
70;Finished;17/03/2012;8
71;Finished;12/04/2010;15
72;Finished;24/08/2010;30
73;Finished;04/07/2011;6
74;Returned;10/11/2010;25
75;Finished;24/06/2010;4
76;Returned;19/09/2012;46
77;Finished;24/12/2011;25
78;Finished;23/03/2012;5
79;Finished;15/10/2011;12
80;Finished;07/08/2010;24
81;Finished;03/03/2009;34
82;Returned;09/02/2010;44
83;Finished;17/01/2009;40
84;Finished;30/08/2010;19
85;Finished;11/09/2009;40
86;Finished;16/07/2009;47
87;Finished;15/11/2012;44
88;Finished;10/09/2011;6
89;Finished;10/04/2011;30
90;Finished;09/10/2011;1
91;Finished;23/10/2012;34
92;Finished;08/01/2012;15
93;Finished;25/01/2010;48
94;Returned;27/01/2011;42
95;Finished;27/08/2009;50
96;Finished;17/03/2011;18
97;Finished;06/06/2012;31
98;Finished;11/04/2011;36
99;Finished;06/11/2012;32
100;Finished;16/05/2012;3
101;Finished;09/04/2012;8
102;Finished;05/08/2012;19
103;Finished;22/07/2009;9
104;Finished;09/05/2010;10
105;Finished;18/02/2009;30
106;Finished;27/06/2012;47
107;Finished;30/09/2010;6
108;Finished;15/04/2010;25
109;Finished;14/09/2011;4
110;Finished;21/09/2010;7
111;Finished;17/08/2010;31
112;Finished;16/09/2009;27
113;Finished;22/06/2009;7
114;Finished;28/08/2012;27
115;Finished;07/06/2011;48
116;Finished;09/10/2009;30
117;Finished;05/12/2010;9
