sales_id;price;discount;discount_value
1;523080;0.04;20923
2;20246040;0.07;1417223
3;9931519;0.08;794522
4;788540;0.08;63083
5;187080;0.03;5612
6;5563640;0.07;389455
7;456820;0.07;31977
8;393700;0.01;3937
9;1433680;0.0;0
10;161220;0.02;3224
11;3630980;0.03;108929
12;496520;0.07;34756
13;8924460;0.04;356978
14;1669808;0.06;100188
15;118060;0.1;11806
16;1023660;0.1;102366
17;161800;0.09;14562
18;134480;0.06;8069
19;24056460;0.01;240565
20;740960;0.04;29638
21;556000;0.08;44480
22;133080;0.01;1331
23;564140;0.03;16924
24;2156980;0.08;172558
25;7108920;0.07;497624
26;383340;0.0;0
27;28447640;0.09;2560288
28;85320;0.06;5119
29;854640;0.0;0
30;1640568;0.0;0
31;29520;0.01;295
32;179100;0.06;10746
33;2420103;0.04;96804
34;118760;0.1;11876
35;2570740;0.1;257074
36;97820;0.01;978
37;259240;0.05;12962
38;237940;0.09;21415
39;123743;0.0;0
40;768660;0.1;76866
41;7844840;0.08;627587
42;416560;0.07;29159
43;19241640;0.04;769666
44;510960;0.04;20438
45;624720;0.07;43730
46;434000;0.01;4340
47;872340;0.08;69787
48;272580;0.05;13629
49;2622500;0.0;0
50;12792400;0.02;255848
51;1503540;0.05;75177
52;2006120;0.03;60184
53;2533440;0.04;101338
54;736080;0.07;51526
55;6677960;0.0;0
56;48320;0.08;3866
57;5599400;0.04;223976
58;4079120;0.04;163165
59;24351640;0.02;487033
60;352520;0.07;24676
61;9310140;0.0;0
62;24360;0.06;1462
63;1641040;0.01;16410
64;12501872;0.01;125019
65;1709760;0.09;153878
66;617080;0.0;0
67;801140;0.05;40057
68;2340050;0.04;93602
69;10377720;0.1;1037772
70;679620;0.05;33981
71;3039800;0.09;273582
72;204480;0.09;18403
73;1931380;0.0;0
74;795680;0.0;0
75;146140;0.08;11691
76;16019185;0.02;320384
77;6038820;0.04;241553
78;73720;0.07;5160
79;44158940;0.06;2649536
80;10814620;0.04;432585
81;148600;0.08;11888
82;43013540;0.06;2580812
83;2286980;0.08;182958
84;10594940;0.02;211899
85;921360;0.01;9214
86;2041220;0.04;81649
87;536680;0.09;48301
88;418000;0.08;33440
89;1002640;0.04;40106
90;80200;0.09;7218
91;10701220;0.09;963110
92;621740;0.07;43522
93;18125460;0.09;1631291
94;567160;0.03;17015
95;4132320;0.02;82646
96;9210720;0.02;184214
97;852680;0.0;0
98;3674880;0.01;36749
99;622880;0.04;24915
100;242240;0.1;24224
101;600400;0.0;0
102;256420;0.05;12821
103;505580;0.09;45502
104;101940;0.09;9175
105;21109260;0.09;1899833
106;3887440;0.03;116623
107;315940;0.01;3159
108;289680;0.09;26071
109;10944240;0.06;656654
110;3621340;0.09;325921
111;1267120;0.09;114041
112;1288800;0.04;51552
113;2423960;0.1;242396
114;6632160;0.08;530573
115;414160;0.09;37274
116;228240;0.05;11412
117;346834;0.0;0
118;47585860;0.0;0
119;512240;0.03;15367
120;774000;0.01;7740
121;2286900;0.06;137214
122;84620;0.06;5077
123;165220;0.08;13218
124;1579880;0.1;157988
125;870480;0.08;69638
126;947400;0.05;47370
127;109560;0.02;2191
128;32133700;0.07;2249359
129;1237800;0.09;111402
130;3330079;0.02;66602
131;2099580;0.08;167966
132;931660;0.1;93166
133;483412;0.0;0
134;551820;0.1;55182
135;61660;0.04;2466
136;243320;0.03;7300
137;216840;0.02;4337
138;52266780;0.04;2090671
139;5342420;0.06;320545
140;1063320;0.08;85066
141;206140;0.1;20614
142;34380;0.0;0
143;541260;0.1;54126
144;9731440;0.03;291943
145;2006620;0.01;20066
146;6102540;0.1;610254
147;19267180;0.06;1156031
148;287560;0.04;11502
149;881840;0.05;44092
150;8687020;0.09;781832
151;1186640;0.03;35599
152;1114460;0.09;100301
153;523760;0.08;41901
154;241540;0.03;7246
155;1591480;0.0;0
156;1394820;0.04;55793
157;9369800;0.01;93698
158;1811880;0.04;72475
159;540460;0.08;43237
160;64800;0.05;3240
161;9377897;0.0;0
162;101400;0.08;8112
163;68220;0.02;1364
164;1076440;0.01;10764
165;2128460;0.06;127708
166;148100;0.02;2962
167;11507700;0.0;0
168;36470940;0.03;1094128
169;418840;0.1;41884
170;648800;0.1;64880
171;465340;0.02;9307
172;124520;0.09;11207
173;315580;0.09;28402
174;752420;0.03;22573
175;3202480;0.08;256198
176;49920;0.05;2496
177;333520;0.01;3335
178;1622260;0.08;129781
179;1645685;0.1;164569
180;6621891;0.05;331095
181;110040;0.08;8803
182;385160;0.05;19258
183;583340;0.01;5833
184;562780;0.1;56278
185;12247880;0.01;122479
186;38650400;0.05;1932520
187;38650400;0.05;1932520
188;70340;0.03;2110
189;34775300;0.08;2782024
190;1383180;0.03;41495
191;3910153;0.06;234609
192;435860;0.03;13076
193;509520;0.06;30571
194;13613320;0.0;0
195;1578020;0.07;110461
196;195140;0.04;7806
197;643360;0.04;25734
198;7342600;0.04;293704
199;806340;0.02;16127
200;179940;0.02;3599
